iter	MultiClass
232	0.2534235552
233	0.2518773561
234	0.2503588882
235	0.2494735163
236	0.2481818285
237	0.2470082313
238	0.2457696407
239	0.2449675985
240	0.2440684147
241	0.2430130206
242	0.2420877919
243	0.2408884885
244	0.2400910204
245	0.2393638283
246	0.2384743906
247	0.2378179199
248	0.2371179708
249	0.23659692
250	0.2352111861
251	0.2342492773
252	0.2330478592
253	0.2325854573
254	0.2318171745
255	0.2313061455
256	0.2306064063
257	0.2292751329
258	0.2277603814
259	0.2271185773
260	0.2260558588
261	0.225262418
262	0.2243941063
263	0.22353061
264	0.2227119709
265	0.2220922324
266	0.2213298881
267	0.2205259894
268	0.2197199593
269	0.2188214503
270	0.2183806552
271	0.2172784166
272	0.216433946
273	0.2156321352
274	0.2150224362
275	0.2143736701
276	0.2138890471
277	0.212865122
278	0.2119355381
279	0.2115338877
280	0.2106923799
281	0.2099236889
282	0.2093949131
283	0.2086640012
284	0.2081044396
285	0.2071704593
286	0.2062178554
287	0.205655776
288	0.2052226515
289	0.2047229947
290	0.2040118993
291	0.2033922775
292	0.2028930086
293	0.202229536
294	0.2017223973
295	0.2009251333
296	0.2001987877
297	0.1996115421
298	0.1988514943
299	0.1983558773
300	0.1977797036
301	0.1969051934
302	0.1965289634
303	0.1957220402
304	0.1951179882
305	0.1946591548
306	0.1938955301
307	0.1935379841
308	0.1928349007
309	0.1919975882
310	0.1913213669
311	0.190670318
312	0.1901709584
313	0.1897319399
314	0.1888987115
315	0.1882733453
316	0.1876863436
317	0.186919882
318	0.1861073486
319	0.1853599899
320	0.1848197776
321	0.1841971219
322	0.1834784993
323	0.1828833022
324	0.1825523902
325	0.1820792958
326	0.1809540008
327	0.1803059857
328	0.1798575305
329	0.1794048888
330	0.1787506424
331	0.1781072391
332	0.1779042427
333	0.1774181306
334	0.1766686713
335	0.1761744636
336	0.1757557105
337	0.1755801929
338	0.1751121629
339	0.174523903
340	0.1739323065
341	0.1735806912
342	0.1729457694
343	0.1724587181
344	0.1719650502
345	0.1713283753
346	0.1710493027
347	0.1705075056
348	0.170151153
349	0.1697316764
350	0.1690569296
351	0.1686293256
352	0.1680626614
353	0.1676117382
354	0.1671494963
355	0.1666337353
356	0.1661196068
357	0.165487333
358	0.165013564
359	0.1645808413
360	0.1640779075
361	0.1636663975
362	0.1631437003
363	0.162616088
364	0.1622270872
365	0.161809675
366	0.1612471555
367	0.1606424232
368	0.1601249537
369	0.1594690427
370	0.1591151783
371	0.158787524
372	0.1580902405
373	0.1575034278
374	0.1566699804
375	0.1564690555
376	0.1559817688
377	0.1555306949
378	0.1551095621
379	0.1546151872
380	0.1540402464
381	0.1536185914
382	0.1532478302
383	0.1526813367
384	0.1523078485
385	0.1520018317
386	0.1516039151
387	0.1511452485
388	0.1506854478
389	0.1501980778
390	0.1500165967
391	0.1495489516
392	0.1491536094
393	0.1489375224
394	0.1486500404
395	0.148235589
396	0.1476895394
397	0.1470024679
398	0.1464983211
399	0.1462339235
400	0.1459219915
401	0.1456628125
402	0.1452265594
403	0.1450113602
404	0.1446249256
405	0.1441258304
406	0.143717495
407	0.1434182461
408	0.1430433878
409	0.1425939451
410	0.1423179606
411	0.1418661037
412	0.1414987377
413	0.1411843388
414	0.1407532959
415	0.1402474324
416	0.1398745112
417	0.1395566616
418	0.1390320415
419	0.1385885839
420	0.1382812682
421	0.1380386387
422	0.1376997553
423	0.1374945645
424	0.1371696342
425	0.1368746133
426	0.1365511841
427	0.136301566
428	0.1359542187
429	0.1354900354
430	0.1353052984
431	0.1348746464
432	0.1343097983
433	0.1340463411
434	0.1338196703
435	0.133555216
436	0.1331185698
437	0.132744866
438	0.1322745397
439	0.1317660156
440	0.1314137957
441	0.1311204993
442	0.1306743176
443	0.1304549741
444	0.1300252805
445	0.1296460496
446	0.1293146065
447	0.1291163174
448	0.1289462224
449	0.1287510629
450	0.1285399525
451	0.1282775802
452	0.127978131
453	0.127454721
454	0.1270879636
455	0.1267967916
456	0.1263799694
457	0.1259995477
458	0.1258225985
459	0.1254416498
460	0.1252107698
461	0.1248920705
462	0.1243586012
463	0.1240380968
464	0.1238591006
465	0.1235392828
466	0.1232263142
467	0.123073703
468	0.1227612529
469	0.1224367515
470	0.1220763568
471	0.1217772104
472	0.1215056559
473	0.121257578
474	0.1210285251
475	0.1207638087
476	0.1205812321
477	0.1202516304
478	0.1198401835
479	0.1195480253
480	0.1193615501
481	0.1189301097
482	0.1185531647
483	0.1181733392
484	0.118038512
485	0.117806746
486	0.1175793158
487	0.1172857875
488	0.1170233718
489	0.116819787
490	0.1164734918
491	0.1161387498
492	0.1157405789
493	0.1153759988
494	0.1149534278
495	0.1146921607
496	0.1144019982
497	0.1141914547
498	0.113909199
499	0.1136294307
500	0.1133141852
501	0.1130243525
502	0.1128049094
503	0.1125494899
504	0.1123112862
505	0.1120308723
506	0.11178941
507	0.1115663718
508	0.1113164036
509	0.1111927057
510	0.110981457
511	0.1107191404
512	0.1105373973
513	0.1103228537
514	0.1101342603
515	0.1099556858
516	0.1097129619
517	0.1095759341
518	0.1093970781
519	0.1090515607
520	0.1087896278
521	0.1085080655
522	0.1083070691
523	0.1081201421
524	0.1078779076
525	0.1076450011
526	0.1074915345
527	0.107180861
528	0.1069509738
529	0.1067653144
530	0.1065624981
531	0.1063257326
532	0.1060625466
533	0.1059238726
534	0.1057181569
535	0.1055360695
536	0.1053112198
537	0.1050404501
538	0.10486307
539	0.1045078318
540	0.1042231899
541	0.1039922168
542	0.1037766787
543	0.1035434296
544	0.1032457009
545	0.1031146093
546	0.1028346397
547	0.1026032926
548	0.1024654223
549	0.1020640956
550	0.1019258819
551	0.1017933575
552	0.1014937821
553	0.1012534
554	0.1011026185
555	0.100855116
556	0.1006923141
557	0.100587916
558	0.1003868781
559	0.1001464514
560	0.09994796394
561	0.09976353847
562	0.09954578045
563	0.09939826068
564	0.09910363145
565	0.09891539385
566	0.09866260817
567	0.09847941663
568	0.09832141943
569	0.09820744098
570	0.09799714234
571	0.09780710642
572	0.0976102402
573	0.09739953976
574	0.09720708975
575	0.09698613818
576	0.09662366002
577	0.09635042099
578	0.09617387046
579	0.09601866731
580	0.09592727857
581	0.09572206534
582	0.09557949948
583	0.09517873477
584	0.09501392604
585	0.09485757603
586	0.09465154778
587	0.09445329358
588	0.09428463463
589	0.09405663014
590	0.09386258878
591	0.09373922368
592	0.09358241421
593	0.09344357486
594	0.09325920455
595	0.09305652962
596	0.09287918927
597	0.09275157481
598	0.09240568508
599	0.09225968692
600	0.09205059743
601	0.09187577653
602	0.09167168637
603	0.09144404528
604	0.09127502796
605	0.09107399235
606	0.0909366605
607	0.090806072
608	0.09062905825
609	0.09045126664
610	0.09030859117
611	0.09007477197
612	0.08981016349
613	0.08966645329
614	0.08937629564
615	0.08924477067
616	0.08910066866
617	0.08896542812
618	0.08879615246
619	0.08859962889
620	0.08845449222
621	0.08837446913
622	0.08820649137
623	0.08811916931
624	0.08789897098
625	0.08763469041
626	0.08747882183
627	0.0872838395
628	0.0871678873
629	0.08698961846
630	0.08687146984
631	0.08675938481
632	0.08660645405
633	0.08642374099
634	0.0862689146
635	0.08619457179
636	0.08599331608
637	0.08580646109
638	0.08564687285
639	0.08547803665
640	0.08532918186
641	0.08520152254
642	0.08509875793
643	0.08490371409
644	0.08477244085
645	0.08465691954
646	0.08449342737
647	0.08437647232
648	0.08416816302
649	0.08404872716
650	0.08391112963
651	0.08378737794
652	0.08360685589
653	0.08342952034
654	0.08332735913
655	0.08317652525
656	0.08309707295
657	0.08292892695
658	0.08282909482
659	0.08268087432
660	0.08247358745
661	0.08223259845
662	0.08205054682
663	0.08193475703
664	0.08182908513
665	0.08168558858
666	0.08145893227
667	0.08132203529
668	0.08124465412
669	0.0810161245
670	0.08084912646
671	0.08075933767
672	0.08065841181
673	0.0805368708
674	0.08038155932
675	0.08024720493
676	0.08014904298
677	0.07993492635
678	0.07971722104
679	0.07953699136
680	0.07939104553
681	0.07921109831
682	0.07907131306
683	0.07891599649
684	0.07884493744
685	0.07870913787
686	0.07860780028
687	0.07847361287
688	0.07835026404
689	0.0781572058
690	0.0780447071
691	0.07791772226
692	0.07782898494
693	0.07771054599
694	0.07760545306
695	0.07742645756
696	0.07727399221
697	0.07721702779
698	0.07702562035
699	0.07683382582
700	0.07670867189
701	0.07661126054
702	0.07646670811
703	0.07628009615
704	0.07613570711
705	0.07596589646
706	0.07582322998
707	0.07571647761
708	0.07563865979
709	0.07548985973
710	0.07533941764
711	0.07523658476
712	0.07511524162
713	0.07496923539
714	0.07488107754
715	0.07481551183
716	0.07468015447
717	0.07462840972
718	0.07450046991
719	0.07441227457
720	0.07424782614
721	0.07410443865
722	0.07386232588
723	0.07380132649
724	0.07365730447
725	0.07351201729
726	0.07327442878
727	0.0732331787
728	0.07306479859
729	0.07298404552
730	0.07282263997
731	0.0727290756
732	0.07269928585
733	0.0725310663
734	0.07244383305
735	0.07236897811
736	0.07227102551
737	0.0721570938
738	0.07200029352
739	0.07187887502
740	0.07177449969
741	0.07165244713
742	0.07157005134
743	0.07139420443
744	0.07126105366
745	0.07118292879
746	0.07109537735
747	0.0710160264
748	0.07092685207
749	0.07080016261
750	0.07067542203
751	0.07057422892
752	0.0704637078
753	0.07034680758
754	0.07021705877
755	0.07008093897
756	0.06998845678
757	0.0698988605
758	0.0697876562
759	0.06973634185
760	0.06961288923
761	0.06954384349
762	0.06941838077
763	0.06932838232
764	0.06920821304
765	0.06909536487
766	0.06894449593
767	0.06881974241
768	0.0687110169
769	0.06861878556
770	0.06849043065
771	0.06840216374
772	0.0682706401
773	0.06818089584
774	0.06798811787
775	0.06789124618
776	0.06780900949
777	0.06766716088
778	0.06759314268
779	0.06747112258
780	0.06738712707
781	0.06734805902
782	0.06728242756
783	0.06719234123
784	0.06703421032
785	0.06696720142
786	0.06685170408
787	0.0667202636
788	0.0666055077
789	0.06647856452
790	0.06633233204
791	0.06618819487
792	0.06611742796
793	0.06607255052
794	0.06601575463
795	0.06592945382
796	0.06584842208
797	0.0657638795
798	0.06563819109
799	0.06556112895
800	0.06549612805
801	0.06544742474
802	0.06539796731
803	0.06533081321
804	0.06518659853
805	0.06510687465
806	0.06503666506
807	0.06494247941
808	0.06484716139
809	0.06475955342
810	0.0646707427
811	0.06459013808
812	0.0645045679
813	0.06444816781
814	0.06436507928
815	0.06424979107
816	0.06420228247
817	0.06411922008
818	0.0640316173
819	0.06397205333
820	0.06390416313
821	0.0638040073
822	0.06367139022
823	0.06351114986
824	0.06338258976
825	0.06331481575
826	0.06324443152
827	0.06314402203
828	0.0630158948
829	0.06295279346
830	0.06286206218
831	0.06280230378
832	0.06269202485
833	0.0625861954
834	0.06251704444
835	0.06241923314
836	0.06234131588
837	0.06227381966
838	0.06222337634
839	0.06212303508
840	0.06200607027
841	0.06192400861
842	0.06176673921
843	0.06165544429
844	0.06158045552
845	0.06148609514
846	0.06141167248
847	0.06133231573
848	0.06129740605
849	0.06121203957
850	0.06116460418
851	0.06102733203
852	0.06091823046
853	0.06080197854
854	0.06070214387
855	0.06062376199
856	0.06058645282
857	0.06050014445
858	0.06036940615
859	0.06027763976
860	0.06020993531
861	0.06011848071
862	0.06006957127
863	0.05996074073
864	0.05990284719
865	0.05981611493
866	0.05972188513
867	0.05961958825
868	0.05952433562
869	0.05939579705
870	0.05931301987
871	0.05921623824
872	0.05912672047
873	0.05907108276
874	0.05898235704
875	0.0589079968
876	0.05881626032
877	0.05871551862
878	0.05860705115
879	0.0584687845
880	0.05839683626
881	0.05832677735
882	0.05821901466
883	0.05813615028
884	0.0580367991
885	0.05798132752
886	0.05790132903
887	0.05780821132
888	0.05773528168
889	0.05763751204
890	0.05754292165
891	0.05744884653
892	0.0573805444
893	0.0572791724
894	0.05721228215
895	0.05711691431
896	0.05706733674
897	0.05700013429
898	0.05688934668
899	0.05682491238
900	0.0567844513
901	0.05674549467
902	0.05667720974
903	0.056580436
904	0.05654567233
905	0.05647670786
906	0.05642303409
907	0.05637659797
908	0.05628450333
909	0.05621376197
910	0.0561181576
911	0.05607763441
912	0.05602663837
913	0.05592205229
914	0.05582687449
915	0.05575314443
916	0.05567127915
917	0.05558725443
918	0.05554259507
919	0.05548693018
920	0.05543024056
921	0.05535895339
922	0.05527260048
923	0.05522122659
924	0.05517647171
925	0.05510026915
926	0.05502650268
927	0.05497822989
928	0.05490225298
929	0.05486437531
930	0.05479478469
931	0.05472714861
932	0.05468421797
933	0.05461130737
934	0.05452432987
935	0.05446922885
936	0.05440693331
937	0.05432796236
938	0.05427490154
939	0.05417909334
940	0.05413014197
941	0.05408275057
942	0.05401359164
943	0.05394374318
944	0.05382258071
945	0.0537667996
946	0.05372388685
947	0.0536597073
948	0.05358765894
949	0.05354660098
950	0.053467069
951	0.053405964
952	0.05332830717
953	0.05327626495
954	0.05320242894
955	0.0531572945
956	0.05306421621
957	0.05299927668
958	0.05294750121
959	0.05290510195
960	0.0528410881
961	0.0527854735
962	0.05272114606
963	0.05263340618
964	0.0526065526
965	0.0525297111
966	0.05249534113
967	0.05244416852
968	0.05235269348
969	0.05229030268
970	0.05219738976
971	0.05215474371
972	0.05208499551
973	0.05202236182
974	0.05195513317
975	0.05189290882
976	0.05184479362
977	0.05176153358
978	0.0517182462
979	0.05164492737
980	0.05158577346
981	0.05152556392
982	0.05145315077
983	0.05140261736
984	0.05134266619
985	0.05124407943
986	0.0511936842
987	0.05112506348
988	0.05107252958
989	0.05100907061
990	0.05092013002
991	0.05084511762
992	0.05079019467
993	0.05072769855
994	0.05066281797
995	0.05058509598
996	0.050552725
997	0.05050722857
998	0.05046048114
999	0.05034446873
